concept_id,concept_code,concept_name,codeset
4094553,188748009,Aleukemic monocytic leukemia,cancer_dx
4097585,188741003,Aleukemic myeloid leukemia,cancer_dx
760988,1.27961E+14,Aleukemic myeloid leukemia in relapse,cancer_dx
37396219,715950008,ALK-positive large B-cell lymphoma,cancer_dx
4003835,109982002,Alpha heavy chain disease (clinical),cancer_dx
4049263,123313007,"Alpha heavy chain disease, enteric form",cancer_dx
4095025,25050002,"Alpha heavy chain disease, respiratory form",cancer_dx
4298235,404053004,Alveolar rhabdomyosarcoma,cancer_dx
4301648,404056007,Alveolar soft part sarcoma,cancer_dx
4080901,276751004,Amelanotic malignant melanoma of skin,cancer_dx
4079553,277461004,Anaplastic astrocytoma of brain,cancer_dx
37018609,8.2501E+13,Anaplastic astrocytoma of central nervous system,cancer_dx
4158253,370987005,Anaplastic astrocytoma of spinal cord,cancer_dx
4314458,424151006,Anaplastic glioma of brain,cancer_dx
45766462,703626001,"Anaplastic large cell lymphoma, T/Null cell, primary systemic type",cancer_dx
4299149,404134006,Anaplastic large T-cell systemic malignant lymphoma,cancer_dx
3654297,830055006,Anaplastic lymphoma kinase fusion oncogene negative non-small cell lung cancer,cancer_dx
3654352,830151004,Anaplastic lymphoma kinase fusion oncogene positive non-small cell lung cancer,cancer_dx
4112985,255031003,Anaplastic thyroid carcinoma,cancer_dx
4299150,404135007,Angiocentric NK/T-cell malignant lymphoma involving skin,cancer_dx
4111027,255102004,Angioendotheliomatosis,cancer_dx
4184976,413537009,Angioimmunoblastic T-cell lymphoma,cancer_dx
35610166,1.09024E+15,Angioimmunoblastic T-cell lymphoma with dysproteinaemia,cancer_dx
4294441,402910001,Anogenital verrucous carcinoma of Buschke-Löwenstein,cancer_dx
4298128,403949007,Apocrine adenocarcinoma of skin,cancer_dx
42538692,762457009,Astroblastoma of brain,cancer_dx
4110884,254938000,Astrocytoma of brain,cancer_dx
37016118,1.07581E+14,Astrocytoma of brain stem,cancer_dx
37018667,9.9131E+13,Astrocytoma of cerebrum,cancer_dx
4112963,254948003,Astrocytoma of spinal cord,cancer_dx
4258135,440422002,Asymptomatic multiple myeloma,cancer_dx
4079282,277589003,Atypical chronic myeloid leukemia,cancer_dx
4139554,307341004,Atypical hairy cell leukemia,cancer_dx
4300566,403922007,Balloon cell malignant melanoma,cancer_dx
4299419,402525008,Basal cell carcinoma - adenoid,cancer_dx
4297670,402526009,Basal cell carcinoma - follicular,cancer_dx
4297671,402527000,Basal cell carcinoma - infiltrative,cancer_dx
4291146,402528005,Basal cell carcinoma - keratotic,cancer_dx
4223497,402529002,Basal cell carcinoma - micronodular,cancer_dx
4222265,402500004,Basal cell carcinoma of ala nasi,cancer_dx
4291145,402515003,Basal cell carcinoma of anterior chest,cancer_dx
4307538,423463003,Basal cell carcinoma of back,cancer_dx
4313634,423535002,Basal cell carcinoma of chest wall,cancer_dx
4221981,402498000,Basal cell carcinoma of dorsum of nose,cancer_dx
4308629,423325007,Basal cell carcinoma of external auditory canal,cancer_dx
4223496,402499008,Basal cell carcinoma of lateral side wall of nose,cancer_dx
4299416,402518001,Basal cell carcinoma of lower back,cancer_dx
37016571,6.1471E+13,Basal cell carcinoma of naris,cancer_dx
4292379,402503002,Basal cell carcinoma of nasal columella,cancer_dx
4292380,402504008,Basal cell carcinoma of nasolabial groove,cancer_dx
4291454,402818009,Basal cell carcinoma of nose,cancer_dx
4224745,402497005,Basal cell carcinoma of root of nose,cancer_dx
4222266,402501000,Basal cell carcinoma of supratip of nose,cancer_dx
4221984,402502007,Basal cell carcinoma of tip of nose,cancer_dx
4292383,402517006,Basal cell carcinoma of upper back,cancer_dx
4299423,402536001,Basal cell carcinoma - primary,cancer_dx
4110721,254710004,Basal cell carcinoma with eccrine differentiation,cancer_dx
4291147,402530007,Basal cell carcinoma with matrical differentiation,cancer_dx
4299421,402533009,Basal cell carcinoma with sebaceous differentiation,cancer_dx
