"concept_id","concept_name","concept_code","vocabulary_id"
2105894,"Application of short leg cast (below knee to toes); walking or ambulatory type","29425","CPT4"
4160556,"Application of short leg splint","430365002","SNOMED"
2105900,"Application of short leg splint (calf to foot)","29515","CPT4"
4035596,"Application of slipper plaster cast","239677005","SNOMED"
4194049,"Application of splint","79321009","SNOMED"
2007609,"Application of splint","93.54","ICD9Proc"
4107739,"Application of splint NEC","180310003","SNOMED"
3573019,"Application of splint NEC","559241000000108","SNOMED"
4079604,"Application of static cast brace","239678000","SNOMED"
40439190,"Application of strapping","239687009","SNOMED"
40311563,"Application of strapping","150766007","SNOMED"
40377922,"Application of strapping","182601008","SNOMED"
40376714,"Application of Thomas splint using skin traction","180321007","SNOMED"
4203750,"Application of Thomas splint using skin traction","308445006","SNOMED"
4079601,"Application of thumb spica plaster cast","239673009","SNOMED"
44809823,"Application of thumb spica splint","865231000000107","SNOMED"
4035598,"Application of thumb spica strapping","239689007","SNOMED"
4035292,"Application of tibial cast brace","239681005","SNOMED"
4160269,"Application of upper extremity splint","430354007","SNOMED"
4083537,"Application of upper limb cast brace with elbow hinges","239682003","SNOMED"
3566928,"Application of vacuum splint","297961000000105","SNOMED"
4176314,"Application of vacuum splint","427996005","SNOMED"
4109146,"Application of Zimmer splint","180317000","SNOMED"
4079505,"Apply Thomas splint traction","179208004","SNOMED"
40312002,"Apply Thomas splint traction","150785005","SNOMED"
4042694,"Arch support strapping","229543001","SNOMED"
4108847,"Attention to plaster cast","180300007","SNOMED"
4261808,"Bivalving of cast","46203002","SNOMED"
40307712,"Bivalving of cast","14989003","SNOMED"
45890371,"Body and Upper Extremity Application of Casts","1005537","CPT4"
45889929,"Body and Upper Extremity Application of Casts and Strapping","1005536","CPT4"
45888558,"Body and Upper Extremity Application of Splints","1005557","CPT4"
45888445,"Body and Upper Extremity Application of Strapping-Any Age","1005565","CPT4"
4301439,"Cast care assessment","385694004","SNOMED"
4299579,"Cast care education","385696002","SNOMED"
4254918,"Cast care education, guidance, and counseling","410280002","SNOMED"
4299580,"Cast care management","385697006","SNOMED"
44789126,"Cast examination","197401000000103","SNOMED"
3554958,"Cast identification","286961000000106","SNOMED"
40619450,"Casting or strapping procedure","69567007","SNOMED"
4126113,"Cast post and core in addition to bridge retainer","23650000","SNOMED"
4173436,"Cast post as part of bridge retainer","50022003","SNOMED"
4171763,"Cast removal","274480009","SNOMED"
40311556,"Cast removal","150760001","SNOMED"
40377915,"Cast removal","182596004","SNOMED"
2781748,"Change Cast on Abdominal Wall","2W03X2Z","ICD10PCS"
2781766,"Change Cast on Back","2W05X2Z","ICD10PCS"
2781757,"Change Cast on Chest Wall","2W04X2Z","ICD10PCS"
2785599,"Change Cast on Face","2W01X2Z","ICD10PCS"
2785590,"Change Cast on Head","2W00X2Z","ICD10PCS"
2782268,"Change Cast on Left Finger","2W0KX2Z","ICD10PCS"
2782533,"Change Cast on Left Foot","2W0TX2Z","ICD10PCS"
2782042,"Change Cast on Left Hand","2W0FX2Z","ICD10PCS"
2781784,"Change Cast on Left Inguinal Region","2W07X2Z","ICD10PCS"
2782024,"Change Cast on Left Lower Arm","2W0DX2Z","ICD10PCS"
