"concept_id","concept_name","concept_code","vocabulary_id","pcornet_vocabulary_id","category","ingredient"
21024063,"Hydrochlorothiazide 12.5 MG / telmisartan 80 MG Oral Tablet [MicardisPlus]","OMOP381968","RxNorm Extension","RX","arb","telmisartan"
42950809,"Hydrochlorothiazide / Losartan Oral Tablet [ROCATAN PLUS]","OMOP4677382","RxNorm Extension","RX","arb","losartan"
43840130,"Losartan Oral Tablet [Losar-Q]","OMOP691445","RxNorm Extension","RX","arb","losartan"
42517082,"hydrochlorothiazide 12.5 MG / losartan potassium 50 MG Oral Tablet","70518241700","NDC","ND","arb","losartan"
41250996,"Hydrochlorothiazide 25 MG / Losartan 100 MG Oral Tablet [Losar Q]","OMOP2448958","RxNorm Extension","RX","arb","losartan"
40130508,"candesartan 4 MG Oral Tablet","615856","RxNorm","RX","arb","candesartan"
44428243,"amlodipine 10 MG / valsartan 160 MG Oral Tablet","65862073990","NDC","ND","arb","valsartan"
42926034,"candesartan 16 MG Oral Tablet [GLOATA]","OMOP4652855","RxNorm Extension","RX","arb","candesartan"
2065064,"telmisartan 40 MG Oral Tablet [TELSTAR] by Ahngook","OMOP4966377","RxNorm Extension","RX","arb","telmisartan"
41306990,"valsartan 160 MG Oral Tablet [Valsartan Hexal] Box of 98","OMOP2504952","RxNorm Extension","RX","arb","valsartan"
21170995,"Hydrochlorothiazide 12.5 MG / irbesartan 300 MG Oral Tablet [CoAprovel] Box of 28","OMOP374931","RxNorm Extension","RX","arb","irbesartan"
43744055,"Hydrochlorothiazide 12.5 MG / Losartan 50 MG Oral Tablet [Losartan-Kalium Comp Dura] by Mylan","OMOP792055","RxNorm Extension","RX","arb","losartan"
41231284,"candesartan 8 MG Oral Tablet [Candesartan Biomo] Box of 56 by biomo","OMOP2429246","RxNorm Extension","RX","arb","candesartan"
41132589,"telmisartan 80 MG Oral Tablet [Micardis] Box of 98 by Kohlpharma","OMOP2330551","RxNorm Extension","RX","arb","telmisartan"
42955644,"Hydrochlorothiazide 12.5 MG / olmesartan 20 MG [OLSARTAN PLUS]","OMOP4682181","RxNorm Extension","RX","arb","olmesartan"
45904622,"valsartan 160 MG Oral Tablet","00603634216","NDC","ND","arb","valsartan"
42928046,"telmisartan Oral Tablet [TELMIONE]","OMOP4654846","RxNorm Extension","RX","arb","telmisartan"
35764759,"valsartan 160 MG Delayed Release Oral Tablet Box of 28 by Waymade","OMOP2766220","RxNorm Extension","RX","arb","valsartan"
43768115,"candesartan 32 MG Oral Tablet [Candesartan Aurobindo] by Aurobindo","OMOP695201","RxNorm Extension","RX","arb","candesartan"
42832926,"valsartan 80 MG Oral Tablet","71335056703","NDC","ND","arb","valsartan"
36262428,"valsartan 80 MG Delayed Release Oral Tablet [VALSARTAN SANDOZ] Box of 28","OMOP3113303","RxNorm Extension","RX","arb","valsartan"
42938484,"Hydrochlorothiazide / telmisartan Oral Tablet [MICARTELMI PLUS]","OMOP4665159","RxNorm Extension","RX","arb","telmisartan"
43178846,"Hydrochlorothiazide 25 MG / olmesartan 40 MG Delayed Release Oral Tablet [COOLMETEC] Box of 30","OMOP446383","RxNorm Extension","RX","arb","olmesartan"
