concept_id,concept_code,concept_name,vocabulary_id
3661559,846758008,Drug-induced angioedema-urticaria,SNOMED
3662401,342501000119105,Edema of left lower eyelid,SNOMED
4003006,109773002,Edema of oral vestibule,SNOMED
4006920,205385004,Constriction ring of lower limb with lymphedema,SNOMED
4006948,205546005,Hereditary edema of legs NOS,SNOMED
4009044,111278002,Edema of glottis,SNOMED
4009381,102564009,Edema of hand,SNOMED
4010007,102558002,Edema of the upper extremity,SNOMED
4010008,102559005,Edema of arm,SNOMED
4010009,102566006,Edema of thumb,SNOMED
4010011,102573001,Edema of thigh,SNOMED
4010012,102575008,Edema of knee,SNOMED
4010362,102576009,Edema of foot,SNOMED
4010900,112647008,Transient edema,SNOMED
4010967,102560000,Edema of forearm,SNOMED
4010968,102562008,Edema of elbow,SNOMED
4010969,102563003,Edema of wrist,SNOMED
4010970,102565005,Edema of finger,SNOMED
4010971,102572006,Edema of lower extremity,SNOMED
4011213,11231004,Oedemagena tarandi,SNOMED
4016848,11468004,Postoperative pulmonary edema,SNOMED
4024297,19452008,Nasal mucosa edematous,SNOMED
4026047,225707003,Sacral edema,SNOMED
4032595,236784006,Idiopathic scrotal edema,SNOMED
4032894,238806009,Infantile acute hemorrhagic edema,SNOMED
4032895,238807000,Facial lymphedema,SNOMED
4033779,238593003,Papular eczema with elimination of papillary edema,SNOMED
4033926,238923001,Lipedematous alopecia,SNOMED
4039283,164196003,O/E - nasal mucosa edematous,SNOMED
4039782,164266004,O/E - vocal cords pink +edema,SNOMED
4040143,164282003,On examination edema of nasal turbinate,SNOMED
4040234,229489005,Edema massage,SNOMED
4040388,118654009,Disorder characterized by edema,SNOMED
4043744,230762003,High altitude cerebral edema,SNOMED
4043946,16816002,Leukedema of tongue,SNOMED
4046685,229488002,Lymphedema massage,SNOMED
4047422,206893004,[D]Peripheral edema,SNOMED
4047995,20606002,Acute bovine pulmonary emphysema AND edema,SNOMED
4048139,206238001,Cerebral edema due to birth injury,SNOMED
4048307,232438004,Post-radiotherapy laryngeal edema,SNOMED
4048793,230759001,Vasogenic cerebral edema,SNOMED
4048794,230760006,Cytotoxic cerebral edema,SNOMED
4048795,230761005,Periventricular cerebrospinal fluid edema,SNOMED
4048908,206888002,[D]Edema,SNOMED
4049236,232411006,Edema of uvula,SNOMED
4049244,232437009,Angioneurotic edema of larynx,SNOMED
4051611,232436000,Reinke's edema,SNOMED
4051988,125307001,Paroxysmal edema,SNOMED
4053496,241974001,Altitude edema,SNOMED
4053685,125309003,Secondary edema,SNOMED
4054198,125308006,Non-pitting edema,SNOMED
4055368,196119001,Pulmonary edema NOS,SNOMED
4055372,196149004,Acute pulmonary edema NOS,SNOMED
4055644,196148007,Acute pulmonary edema unspecified,SNOMED
4056883,2129002,Edema of pharynx,SNOMED
4057694,18174004,Brown edema,SNOMED
4059918,161988006,Edema NOS,SNOMED
4060339,162784002,Unilateral leg edema,SNOMED
4060340,162785001,O/E - edema of thighs,SNOMED
4060341,162787009,O/E - sacral edema,SNOMED
4060600,162780006,O/E - edema not present,SNOMED
4060601,162782003,O/E - edema of feet,SNOMED
4060602,162783008,O/E - edema of legs,SNOMED
4060967,162781005,O/E - edema of ankles,SNOMED
4060968,162789007,O/E - periorbital edema,SNOMED
4060969,162790003,O/E - edema of arms,SNOMED
4061232,162786000,O/E - abdominal edema,SNOMED
4061233,162791004,O/E - edema NOS,SNOMED
4062004,162970000,O/E - pulmonary edema,SNOMED
4067072,201057001,Lymphedematous keratoderma,SNOMED
4071343,206889005,"[D]Edema, generalized",SNOMED
4071346,206892009,"[D]Edema, localized",SNOMED
4078925,19242006,Pulmonary edema,SNOMED
4080130,277785006,Penicillin-induced angioedema-urticaria,SNOMED
4081073,238694002,Vibratory angioedema,SNOMED
4082015,277170006,Edema of ear canal,SNOMED
4083027,183328002,Reduction of edema,SNOMED
4083996,241958006,Drug-aggravated angioedema-urticaria,SNOMED
4083997,241959003,NSAID-induced angioedema-urticaria,SNOMED
4083998,241960008,Aspirin-induced angioedema-urticaria,SNOMED
4084171,241957001,Food-induced angioedema-urticaria,SNOMED
4084172,241962000,Chemical-aggravated angioedema-urticaria,SNOMED
4084173,241963005,Azo-dye-induced angioedema-urticaria,SNOMED
4084174,241964004,Sodium benzoate-induced angioedema-urticaria,SNOMED
4086676,248477007,Swelling or edema,SNOMED
4086742,241956005,Venom-induced angioedema-urticaria,SNOMED
4086744,241965003,Latex-induced angioedema-urticaria,SNOMED
4087144,248478002,Swelling - edema - symptom,SNOMED
4087149,248499004,Dependent edema,SNOMED
4087150,248500008,Brawny edema,SNOMED
4087152,248501007,Edema of structure within eye,SNOMED
4089293,251490001,Lymphedematous hyperkeratosis,SNOMED
4094012,248508001,Abdominal wall edema,SNOMED
4094513,26237000,Ankle edema,SNOMED
4095997,262702004,Edema of thoracic cord,SNOMED
4096619,262701006,Edema of cervical cord,SNOMED
4096620,262703009,Edema of lumbar cord,SNOMED
4096621,262704003,Edema of sacral cord,SNOMED
4101027,25334004,Subconjunctival edema,SNOMED
4101821,300522004,Edema of prepuce,SNOMED
4102122,300891008,Genital edema,SNOMED
4102131,300981003,Gravitational edema of leg,SNOMED
4102320,28590005,Chronic acquired lymphedema,SNOMED
4102952,28724005,"Cholestasis-edema syndrome, Norwegian type",SNOMED
4104838,192899004,Myelopathy due to edema of spinal cord,SNOMED
4109678,284521000,Pitting edema,SNOMED
4110252,254199006,Hereditary lymphedema,SNOMED
4112186,195492007,Other lymphedema NOS,SNOMED
4112348,195680000,Acute edematous laryngitis,SNOMED
4112516,195861004,Edema of larynx NOS,SNOMED
4113609,254097005,Stuve-Wiedemann dysplasia,SNOMED
4117113,300998003,Acquired lymphedema of leg,SNOMED
4119429,233707008,High altitude pulmonary edema,SNOMED
4119430,233711002,Oxygen-induced pulmonary edema,SNOMED
4119787,233708003,Post-upper airway obstruction pulmonary edema,SNOMED
4119788,233709006,Toxic pulmonary edema,SNOMED
4119789,233712009,Fluid overload pulmonary edema,SNOMED
4120267,233705000,Neurogenic pulmonary edema,SNOMED
4120268,233706004,Drug-induced acute pulmonary edema,SNOMED
4120269,233710001,Chemical-induced pulmonary edema,SNOMED
4120339,258468009,Edema fluid sample,SNOMED
4121459,233808007,Bronchial anastomotic edema,SNOMED
4121791,234102003,Lipedema,SNOMED
4122118,234996008,Chronic fibro-edematous gingivitis,SNOMED
4124333,289509002,Edema of clitoris,SNOMED
4124654,289864003,Perineum slightly edematous,SNOMED
4124987,234099003,Lymphedema due to lymphogranuloma venereum,SNOMED
4127843,289796004,Edema of cervix,SNOMED
4127988,289863009,Perineum edematous,SNOMED
4127989,289866001,Perineum very edematous,SNOMED
4129675,290077003,Edema of breast,SNOMED
4131335,264573009,Stomal edema,SNOMED
4140613,427167008,Hereditary angioedema with normal C1 esterase inhibitor activity,SNOMED
4143974,266274000,Other lymphedema,SNOMED
4146113,267655008,Exophthalmos due to orbital edema or congestion,SNOMED
4147210,30213001,Lymphatic edema,SNOMED
4149223,268264007,Constriction ring of upper limb with lymphedema,SNOMED
4149526,268918008,O/E - edema,SNOMED
4150167,267647001,Conjunctival edema NOS,SNOMED
4151368,28208008,Edematous infarct,SNOMED
4153583,268919000,O/E - genital edema,SNOMED
4155910,271808008,"Edema, generalized",SNOMED
4158343,271809000,Peripheral edema,SNOMED
4159367,290098003,Edema of nipple,SNOMED
4161207,371627004,ACE inhibitor-aggravated angioedema,SNOMED
4171119,276637009,Hemorrhagic pulmonary edema,SNOMED
4171917,274724004,Localized edema,SNOMED
4172501,422627003,Edema - grade 3,SNOMED
4172632,422850006,Edema - grade 5,SNOMED
4172672,277374006,Myedema,SNOMED
4173126,422814004,Edema - grade 4,SNOMED
4173563,5008001,Pitting edema,SNOMED
4173768,423666004,Edema,SNOMED
4175215,275949000,O/E - scrotal edema,SNOMED
4175817,49731008,Massive edema,SNOMED
4177665,49563000,Periorbital edema,SNOMED
4179625,52379009,Subglottic edema,SNOMED
4188331,46847001,Chronic pulmonary edema,SNOMED
