concept_id,concept_code,concept_name,vocabulary_id
45534172,O10.22,Pre-existing hypertensive chronic kidney disease complicating childbirth,ICD10CM
1571640,O10.21,Pre-existing hypertensive chronic kidney disease complicating pregnancy,ICD10CM
1571639,O10.2,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, childbirth and the puerperium",ICD10CM
45567886,O10.211,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, first trimester",ICD10CM
45548697,O10.212,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, second trimester",ICD10CM
45587280,O10.213,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, third trimester",ICD10CM
45534171,O10.219,"Pre-existing hypertensive chronic kidney disease complicating pregnancy, unspecified trimester",ICD10CM
45539086,O10.23,Pre-existing hypertensive chronic kidney disease complicating the puerperium,ICD10CM
45558202,O10.32,Pre-existing hypertensive heart and chronic kidney disease complicating childbirth,ICD10CM
1571642,O10.31,Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy,ICD10CM
1571641,O10.3,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, childbirth and the puerperium",ICD10CM
45587281,O10.311,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, first trimester",ICD10CM
45577557,O10.312,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, second trimester",ICD10CM
45558201,O10.313,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, third trimester",ICD10CM
45539087,O10.319,"Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, unspecified trimester",ICD10CM
45582444,O10.33,Pre-existing hypertensive heart and chronic kidney disease complicating the puerperium,ICD10CM
45534170,O10.12,Pre-existing hypertensive heart disease complicating childbirth,ICD10CM
1571638,O10.11,Pre-existing hypertensive heart disease complicating pregnancy,ICD10CM
1571637,O10.1,"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium",ICD10CM
45563047,O10.111,"Pre-existing hypertensive heart disease complicating pregnancy, first trimester",ICD10CM
45553475,O10.112,"Pre-existing hypertensive heart disease complicating pregnancy, second trimester",ICD10CM
45539085,O10.113,"Pre-existing hypertensive heart disease complicating pregnancy, third trimester",ICD10CM
45592184,O10.119,"Pre-existing hypertensive heart disease complicating pregnancy, unspecified trimester",ICD10CM
45558200,O10.13,Pre-existing hypertensive heart disease complicating the puerperium,ICD10CM
45534173,O10.42,Pre-existing secondary hypertension complicating childbirth,ICD10CM
1571644,O10.41,Pre-existing secondary hypertension complicating pregnancy,ICD10CM
1571643,O10.4,"Pre-existing secondary hypertension complicating pregnancy, childbirth and the puerperium",ICD10CM
45558203,O10.411,"Pre-existing secondary hypertension complicating pregnancy, first trimester",ICD10CM
45582445,O10.412,"Pre-existing secondary hypertension complicating pregnancy, second trimester",ICD10CM
45592185,O10.413,"Pre-existing secondary hypertension complicating pregnancy, third trimester",ICD10CM
45548699,O10.419,"Pre-existing secondary hypertension complicating pregnancy, unspecified trimester",ICD10CM
45563048,O10.43,Pre-existing secondary hypertension complicating the puerperium,ICD10CM
35207675,I15.0,Renovascular hypertension,ICD10CM
1569124,I15,Secondary hypertension,ICD10CM
35207679,I15.9,"Secondary hypertension, unspecified",ICD10CM
1571659,O16,Unspecified maternal hypertension,ICD10CM
37200975,O16.4,"Unspecified maternal hypertension, complicating childbirth",ICD10CM
37200976,O16.5,"Unspecified maternal hypertension, complicating the puerperium",ICD10CM
45572765,O16.1,"Unspecified maternal hypertension, first trimester",ICD10CM
45592191,O16.2,"Unspecified maternal hypertension, second trimester",ICD10CM
45548707,O16.3,"Unspecified maternal hypertension, third trimester",ICD10CM
45596923,O16.9,"Unspecified maternal hypertension, unspecified trimester",ICD10CM
45539090,O10.92,Unspecified pre-existing hypertension complicating childbirth,ICD10CM
1571646,O10.91,Unspecified pre-existing hypertension complicating pregnancy,ICD10CM
1571645,O10.9,"Unspecified pre-existing hypertension complicating pregnancy, childbirth and the puerperium",ICD10CM
45582446,O10.911,"Unspecified pre-existing hypertension complicating pregnancy, first trimester",ICD10CM
45606537,O10.912,"Unspecified pre-existing hypertension complicating pregnancy, second trimester",ICD10CM
45539089,O10.913,"Unspecified pre-existing hypertension complicating pregnancy, third trimester",ICD10CM
45577558,O10.919,"Unspecified pre-existing hypertension complicating pregnancy, unspecified trimester",ICD10CM
